gameid,year,round,date,hometeam,awayteam,hometeamscoreft,awayteamscoreft,venue,attendance,maxtemp,mintemp,rainfall
2021R1709,2021,R17,2021-07-12,West Coast,North Melbourne,8.12,10.1,Perth Stadium,30515.0,21.7,11.6,9.6
2021R1801,2021,R18,2021-07-15,Fremantle,Geelong,3.13,14.16,Perth Stadium,35271.0,17.9,12.8,2.0
2021R1802,2021,R18,2021-07-16,Richmond,Brisbane Lions,16.1,13.8,Carrara,4119.0,22.8,16.7,0.4
2021R1803,2021,R18,2021-07-17,St Kilda,Port Adelaide,8.13,10.14,Docklands,0.0,12.8,6.4,0.8
2021R1804,2021,R18,2021-07-17,Gold Coast,Western Bulldogs,11.13,14.6,Carrara,8244.0,21.9,14.3,0.4
2021R1805,2021,R18,2021-07-17,Melbourne,Hawthorn,11.13,12.7,M.C.G.,0.0,12.8,6.4,0.8
2021R1806,2021,R18,2021-07-18,North Melbourne,Essendon,11.8,13.14,Carrara,5114.0,21.3,8.7,0.0
2021R1807,2021,R18,2021-07-18,Collingwood,Carlton,9.8,13.13,M.C.G.,0.0,13.3,8.0,4.4
2021R1808,2021,R18,2021-07-18,Adelaide,West Coast,8.8,14.14,Adelaide Oval,24554.0,13.3,8.4,0.8
2021R1809,2021,R18,2021-07-18,Greater Western Sydney,Sydney,11.6,15.8,Carrara,2374.0,21.3,8.7,0.0
